quarter_name,avg_chained_index_points,total_quarterly_inflation_pct
2020Q1,100.06653333333334,-0.09999999999999998
2020Q2,99.76547089590122,-0.7
2020Q3,99.76493833595153,0.1
2020Q4,99.83090558091833,-2.7755575615628914e-17
2021Q1,99.99700083298781,0.7999999999999999
2021Q2,101.10020204408762,0.8
2021Q3,101.97869726496903,0.9
2021Q4,102.35264138271447,0.3
2022Q1,103.41430536068606,1.5
2022Q2,105.46064249392235,1.8
2022Q3,106.97428887267681,1.0
2022Q4,107.83115060009759,1.0
2023Q1,108.91342179929376,1.2000000000000002
2023Q2,110.40672000923273,1.0
2023Q3,111.14391747542042,0.7000000000000001
2023Q4,111.54985190617845,0.1
2024Q1,111.88431276550456,1.0
2024Q2,113.56891676901101,1.1
2024Q3,115.01202314004622,1.3
2024Q4,115.35327409363852,-0.2
2025Q1,115.8508490173031,1.1
2025Q2,117.39710858373485,1.1
2025Q3,118.29694629927519,0.5
2025Q4,118.29186284569799,0.0
